Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR346596_1	54.55197106521534	50.0	250.63893372492385	251	27.27272727272727	659192.0
ERR346596_2	44.58276410536259	50.0	250.75730894792412	251	9.090909090909092	659192.0
ERR346597_1	52.45833895097513	49.0	250.63650866941583	251	18.181818181818183	628070.0
ERR346597_2	44.193123996936144	50.0	250.75259127167354	251	9.090909090909092	628070.0
ERR346598_1	72.89495279270676	50.0	250.63707318470628	251	18.181818181818183	1326452.0
ERR346598_2	53.35083466751541	51.0	250.74332128113193	251	18.181818181818183	1326452.0
ERR346599_1	44.71900862808048	51.0	250.74062132591948	251	9.090909090909092	722970.0
ERR346599_2	60.84500915467524	50.0	250.6405673817724	251	18.181818181818183	722970.0
ERR346600_1	74.8495515814372	49.0	250.62942639868513	251	18.181818181818183	580438.0
ERR346600_2	43.193619217269855	51.0	250.75887863992364	251	9.090909090909092	580438.0
ERR346601_1	56.14507657678171	49.0	250.64066237508536	251	18.181818181818183	698577.0
ERR346601_2	44.7235985398992	51.0	250.7453337284222	251	9.090909090909092	698577.0
