sample	n_records	n_stop_codon	pct_stop_codon	n_productive_available	n_productive_false	pct_productive_false	n_complete_vdj_available	n_complete_vdj_false	pct_complete_vdj_false	n_v_aa_identity_available	n_j_aa_identity_available	n_bad_v_aa_identity	pct_bad_v_aa_identity	n_bad_j_aa_identity	pct_bad_j_aa_identity	n_bad_v_or_j_aa_identity	pct_bad_v_or_j_aa_identity	n_v_support_available	n_j_support_available	n_bad_v_evalue	pct_bad_v_evalue	n_bad_j_evalue	pct_bad_j_evalue	n_bad_v_or_j_evalue	pct_bad_v_or_j_evalue	n_bad_v_identity_or_evalue	pct_bad_v_identity_or_evalue	n_bad_j_identity_or_evalue	pct_bad_j_identity_or_evalue	n_bad_v_or_j_identity_or_evalue	pct_bad_v_or_j_identity_or_evalue	n_missing_v_call	pct_missing_v_call	n_missing_j_call	pct_missing_j_call	aa_identity_threshold	evalue_support_threshold	evalue_field_basis
ERR346596	658771	30671	4.655790859039029	657214	35762	5.428593547681971	658544	308890	46.88882783243343	658474	656168	20661	3.136294706354712	3596	0.5458649515537266	24061	3.6524072856880463	658544	656168	888	0.13479646189647085	4411	0.6695801727762758	5035	0.7643020108656877	20824	3.1610377505992218	7961	1.2084624247272573	27473	4.170341438830793	227	0.03445810456137262	2603	0.3951297188249027	85.0	1.0	IgBLAST_AIRR_v_support_j_support
ERR346597	627705	29393	4.682613648130889	626281	33898	5.400307469272986	627485	293813	46.807497152324736	627429	625246	19846	3.161676265124541	3481	0.5545598649046924	23137	3.6859671342429965	627485	625246	809	0.1288821978477151	3909	0.6227447606757952	4484	0.7143483005551972	19963	3.1803155941086976	7332	1.1680646163404784	26095	4.1572076054834675	220	0.035048310910379875	2459	0.39174452967556417	85.0	1.0	IgBLAST_AIRR_v_support_j_support
ERR346598	1325428	66338	5.005024791991719	1320685	77543	5.850412093301182	1325054	619395	46.73169723289383	1324960	1318052	47184	3.559906686745715	11512	0.8685496307607806	57725	4.355196962792396	1325054	1318052	1268	0.0956672108933869	11363	0.8573079790075356	12287	0.9270213093430952	47391	3.5755242834767333	22731	1.7149931946510864	66632	5.027206306189397	374	0.028217300373916954	7376	0.5564994854492284	85.0	1.0	IgBLAST_AIRR_v_support_j_support
ERR346599	722057	34820	4.822333970863796	719563	40576	5.619500953525829	721800	334891	46.380133424369546	721718	718447	25086	3.4742409532765417	5945	0.8233422015159468	30579	4.234984218697416	721800	718447	881	0.1220125280968123	5316	0.7362299652243521	5961	0.8255580930591352	25244	3.4961228822655275	11184	1.5489081886887046	34721	4.808623141940318	257	0.035592757912463975	3610	0.49996052943188696	85.0	1.0	IgBLAST_AIRR_v_support_j_support
ERR346600	580241	27397	4.721658759032884	579070	30964	5.336403322067899	580027	273357	47.11094183279017	579959	578202	17783	3.0647610217133914	3373	0.5813101797356616	21006	3.6202198741557385	580027	578202	782	0.13477158628914537	2128	0.3667441632011526	2717	0.4682537083729002	17909	3.0864761366397757	5489	0.945986236753349	22800	3.929401748583778	214	0.03688122693846178	2039	0.3514057090071195	85.0	1.0	IgBLAST_AIRR_v_support_j_support
ERR346601	698208	32890	4.710630643017553	695822	37931	5.432621797515926	697858	319932	45.82187542967139	697757	694944	23876	3.4196113479077868	5816	0.8329895962234749	29232	4.186717998075072	697858	694944	1200	0.17186855492919015	3699	0.5297848205692287	4598	0.6585430129703469	24092	3.450547687795041	9480	1.3577615839406023	32062	4.592041340116412	350	0.050128328521013794	3264	0.46748246940739724	85.0	1.0	IgBLAST_AIRR_v_support_j_support
