sample	n_records	n_stop_codon	pct_stop_codon
ERR346596	658771	30671	4.655790859039029
ERR346597	627705	29393	4.682613648130889
ERR346598	1325428	66338	5.005024791991719
ERR346599	722057	34820	4.822333970863796
ERR346600	580241	27397	4.721658759032884
ERR346601	698208	32890	4.710630643017553
