Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR346596_1.pr	10.042749305210014	77.28370489933134
ERR346596_2.pr	0.1471498440515055	0.14396412577822548
ERR346597_1.pr	9.958284904548856	77.06943493559632
ERR346597_2.pr	0.15746652443199008	0.13899724552995682
ERR346598_1.pr	10.139680893089235	69.66290525401598
ERR346598_2.pr	0.1507027770322635	0.11021883943029978
ERR346599_1.pr	0.15422493326140782	0.10913315905224283
ERR346599_2.pr	10.079256400680526	70.06182829163036
ERR346600_1.pr	9.406861714774015	78.17648051988326
ERR346600_2.pr	0.1474748379671903	0.14041120670941598
ERR346601_1.pr	10.010206462566044	70.3374144868783
ERR346601_2.pr	0.17292295623818132	0.12267795819215349
