Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR346596_1.pr	10.155279558932708	76.1676077276658
ERR346596_2.pr	0.2011551591175059	0.14794521532949714
ERR346597_1.pr	10.154423579551333	75.75220506596234
ERR346597_2.pr	0.21257594460957055	0.14740667691904527
ERR346598_1.pr	10.132225879513063	67.54199589587694
ERR346598_2.pr	0.18008227443703945	0.10521145164676166
ERR346599_1.pr	0.17947806620424797	0.10389142541930482
ERR346599_2.pr	10.104325646547219	68.52974334314888
ERR346600_1.pr	9.654999813306127	77.17480702412993
ERR346600_2.pr	0.20465685161470018	0.14824502713116103
ERR346601_1.pr	10.062087121433988	69.20022859205342
ERR346601_2.pr	0.19234026655353154	0.11405856958997485
